quarter,epsActual,epsEstimate,epsDifference,surprisePercent,ticker,fetch_date
2025-03-31,3.64,3.47342,0.17,0.048,AXP,2025-12-31 16:59:57.123944
2025-06-30,4.08,3.88235,0.2,0.0509,AXP,2025-12-31 16:59:57.123944
2025-09-30,4.14,3.99559,0.14,0.0361,AXP,2025-12-31 16:59:57.123944
2024-12-31,2.21,1.78616,0.42,0.2373,ISRG,2025-12-31 17:00:00.857049
2025-03-31,1.81,1.73347,0.08,0.044099998,ISRG,2025-12-31 17:00:00.857049
2025-06-30,2.19,1.91968,0.27,0.1408,ISRG,2025-12-31 17:00:00.857049
2025-09-30,2.4,1.98832,0.41,0.207,ISRG,2025-12-31 17:00:00.857049
2025-01-31,3.19,3.24894,-0.06,-0.018099999,DE,2025-12-31 17:00:04.200575
2025-04-30,6.64,5.63872,1.0,0.1776,DE,2025-12-31 17:00:04.200575
2025-07-31,4.75,4.66126,0.09,0.019,DE,2025-12-31 17:00:04.200575
2025-10-31,3.93,3.83411,0.1,0.025,DE,2025-12-31 17:00:04.200575
2024-12-31,1.37,0.68223,0.69,1.0081,PLD,2025-12-31 17:00:07.728772
2025-03-31,0.63,0.62706,0.0,0.0047,PLD,2025-12-31 17:00:07.728772
2025-06-30,0.61,0.73161,-0.12,-0.16620001,PLD,2025-12-31 17:00:07.728772
2025-09-30,0.82,0.73276,0.09,0.1191,PLD,2025-12-31 17:00:07.728772
2024-12-31,11.95,8.35083,3.6,0.431,GS,2025-12-31 17:00:11.290899
2025-03-31,14.12,12.2613,1.86,0.1516,GS,2025-12-31 17:00:11.290899
2025-06-30,10.91,9.66225,1.25,0.1291,GS,2025-12-31 17:00:11.290899
2025-09-30,12.25,11.08738,1.16,0.104899995,GS,2025-12-31 17:00:11.290899
2024-12-31,0.65,0.65352,-0.0,-0.0054,MDLZ,2025-12-31 17:00:14.682076
2025-03-31,0.74,0.65929,0.08,0.1224,MDLZ,2025-12-31 17:00:14.682076
2025-06-30,0.73,0.67674,0.05,0.0787,MDLZ,2025-12-31 17:00:14.682076
2025-09-30,0.73,0.70914,0.02,0.0294,MDLZ,2025-12-31 17:00:14.682076
2025-01-31,1.23,1.16797,0.06,0.0531,TJX,2025-12-31 17:00:18.136509
2025-04-30,0.92,0.91279,0.01,0.007900001,TJX,2025-12-31 17:00:18.136509
2025-07-31,1.1,1.01428,0.09,0.0845,TJX,2025-12-31 17:00:18.136509
2025-10-31,1.28,1.21962,0.06,0.0495,TJX,2025-12-31 17:00:18.136509
2024-12-31,1.87,1.76371,0.11,0.060300004,MMC,2025-12-31 17:00:21.486296
2025-03-31,3.06,2.99779,0.06,0.0208,MMC,2025-12-31 17:00:21.486296
2025-06-30,2.72,2.66388,0.06,0.0211,MMC,2025-12-31 17:00:21.486296
2025-09-30,1.85,1.77763,0.07,0.040700004,MMC,2025-12-31 17:00:21.486296
2024-12-31,2.35,2.29548,0.05,0.0238,ADP,2025-12-31 17:00:25.060764
2025-03-31,3.06,2.973,0.09,0.0293,ADP,2025-12-31 17:00:25.060764
2025-06-30,2.26,2.22652,0.03,0.015,ADP,2025-12-31 17:00:25.060764
2025-09-30,2.49,2.44263,0.05,0.0194,ADP,2025-12-31 17:00:25.060764
2024-12-31,41.55,36.05373,5.5,0.1524,BKNG,2025-12-31 17:00:28.476587
2025-03-31,24.81,17.5668,7.24,0.4123,BKNG,2025-12-31 17:00:28.476587
2025-06-30,55.4,50.39555,5.0,0.099300005,BKNG,2025-12-31 17:00:28.476587
2025-09-30,99.5,95.9174,3.58,0.0374,BKNG,2025-12-31 17:00:28.476587
2024-12-31,4.01,3.87472,0.14,0.0349,SYK,2025-12-31 17:00:32.024529
2025-03-31,2.84,2.73051,0.11,0.0401,SYK,2025-12-31 17:00:32.024529
2025-06-30,3.13,3.07025,0.06,0.0195,SYK,2025-12-31 17:00:32.024529
2025-09-30,3.19,3.13154,0.06,0.0187,SYK,2025-12-31 17:00:32.024529
2024-12-31,1.9,1.70046,0.2,0.1173,GILD,2025-12-31 17:00:35.332134
2025-03-31,1.81,1.77562,0.03,0.0194,GILD,2025-12-31 17:00:35.332134
2025-06-30,2.01,1.95679,0.05,0.0272,GILD,2025-12-31 17:00:35.332134
2025-09-30,2.47,2.13529,0.33,0.1568,GILD,2025-12-31 17:00:35.332134
2025-01-31,1.63,1.54353,0.09,0.055999998,ADI,2025-12-31 17:00:38.797681
2025-04-30,1.85,1.69147,0.16,0.0937,ADI,2025-12-31 17:00:38.797681
2025-07-31,2.05,1.94629,0.1,0.0533,ADI,2025-12-31 17:00:38.797681
2025-10-31,2.26,2.2348,0.03,0.0113,ADI,2025-12-31 17:00:38.797681
