period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,ticker,fetch_date
0q,2.00741,1.63573,2.11,1.6,37,0.2546,AVGO,2025-12-31 16:57:37.305900
+1q,2.12917,1.70529,2.31428,1.58,35,0.34759998,AVGO,2025-12-31 16:57:37.305900
0y,10.10944,8.62301,11.67843,6.82,44,0.48229998,AVGO,2025-12-31 16:57:37.305900
+1y,14.00101,9.71,16.82,10.10944,40,0.3849,AVGO,2025-12-31 16:57:37.305900
0q,0.56123,0.54,0.59,0.55,17,0.020399999,KO,2025-12-31 16:57:41.000667
+1q,0.83227,0.77,0.87341,0.73,13,0.1401,KO,2025-12-31 16:57:41.000667
0y,2.98827,2.97,3.02,2.88,23,0.0376,KO,2025-12-31 16:57:41.000667
+1y,3.22094,3.15,3.32,2.98827,23,0.0779,KO,2025-12-31 16:57:41.000667
0q,2.23738,2.22,2.25,1.96,16,0.1415,PEP,2025-12-31 16:57:44.406410
+1q,1.5693,1.48,1.61104,1.48,12,0.060300004,PEP,2025-12-31 16:57:44.406410
0y,8.11366,8.0848,8.13,8.16,22,-0.0057,PEP,2025-12-31 16:57:44.406410
+1y,8.56676,8.30809,8.7,8.11366,20,0.0558,PEP,2025-12-31 16:57:44.406410
0q,4.50245,4.31,4.864,4.02,29,0.12,COST,2025-12-31 16:57:47.971431
+1q,4.86072,4.6,5.29187,4.28,29,0.1357,COST,2025-12-31 16:57:47.971431
0y,20.28773,19.7,22.06868,18.21,32,0.1141,COST,2025-12-31 16:57:47.971431
+1y,22.24443,21.36,25.00007,20.28773,32,0.0964,COST,2025-12-31 16:57:47.971431
0q,5.8724,5.84,5.91,5.08,27,0.156,ADBE,2025-12-31 16:57:51.565250
+1q,5.68132,5.56,5.81,5.06,27,0.1228,ADBE,2025-12-31 16:57:51.565250
0y,23.46429,22.56,24.61,20.94,35,0.1205,ADBE,2025-12-31 16:57:51.565250
+1y,26.32865,23.45751,28.11,23.46429,35,0.1221,ADBE,2025-12-31 16:57:51.565250
0q,6.45134,6.38608,6.52,6.1,21,0.057600003,TMO,2025-12-31 16:57:55.173743
+1q,5.58758,5.38,5.84,5.15,17,0.085,TMO,2025-12-31 16:57:55.173743
0y,22.73073,22.51,22.81,21.86,27,0.0398,TMO,2025-12-31 16:57:55.173743
+1y,24.65947,24.0,25.87,22.73073,27,0.0849,TMO,2025-12-31 16:57:55.173743
0q,3.03731,2.91,3.30651,2.83,32,0.0733,MCD,2025-12-31 16:57:58.537371
+1q,2.84873,2.72,2.95,2.67,28,0.0669,MCD,2025-12-31 16:57:58.537371
0y,12.12993,11.92313,12.42,11.72,37,0.035,MCD,2025-12-31 16:57:58.537371
+1y,13.22905,12.63594,13.6,12.12993,37,0.09060001,MCD,2025-12-31 16:57:58.537371
0q,1.02121,1.01,1.03,0.94,20,0.0864,CSCO,2025-12-31 16:58:02.079073
+1q,1.03038,1.01,1.07,0.96,19,0.0733,CSCO,2025-12-31 16:58:02.079073
0y,4.12165,4.07,4.23,3.81,24,0.08180001,CSCO,2025-12-31 16:58:02.079073
+1y,4.47265,4.32,4.67,4.12165,24,0.085200004,CSCO,2025-12-31 16:58:02.079073
0q,2.85714,2.77,3.07,2.82,19,0.013200001,ACN,2025-12-31 16:58:05.797596
+1q,3.69403,3.11,3.79204,3.49,19,0.0585,ACN,2025-12-31 16:58:05.797596
0y,13.83544,13.28,14.0,12.93,27,0.07,ACN,2025-12-31 16:58:05.797596
+1y,14.88188,14.0,15.31,13.83544,27,0.0756,ACN,2025-12-31 16:58:05.797596
0q,1.49593,1.45,1.51,1.34,24,0.1164,ABT,2025-12-31 16:58:09.230924
+1q,1.20263,1.14,1.3,1.09,20,0.1033,ABT,2025-12-31 16:58:09.230924
0y,5.17128,5.14,5.67,4.67,28,0.1073,ABT,2025-12-31 16:58:09.230924
+1y,5.67559,5.51,5.85,5.17128,28,0.0975,ABT,2025-12-31 16:58:09.230924
0q,0.29044,0.24,0.35,0.54,18,-0.4621,NKE,2025-12-31 16:58:12.759364
+1q,0.21937,0.08,0.52,0.14,18,0.5669,NKE,2025-12-31 16:58:12.759364
0y,1.60073,1.39,1.9196,2.16,33,-0.2589,NKE,2025-12-31 16:58:12.759364
+1y,2.40953,1.64,3.5,1.60073,33,0.5053,NKE,2025-12-31 16:58:12.759364
0q,2.13854,2.1,2.225,2.14,21,-0.0007,DHR,2025-12-31 16:58:16.328246
+1q,2.00334,1.87,2.1,1.88,17,0.0656,DHR,2025-12-31 16:58:16.328246
